Total Play Time,Total XP,Bot Name,Simulation Run
2160.499999999998,55008,bot3,24
2062.8500000000004,53354,bot4,24
2066.8500000000004,53390,bot4,24
2159.1000000000004,51064,bot3,25
2065.5250000000005,50006,bot1,25
2167.1000000000004,51304,bot3,25
2114.6749999999993,51350,bot4,25
2052.7750000000005,48758,bot4,26
2186.8,52772,bot1,26
2168.2999999999997,51872,bot2,26
2056.7750000000005,48918,bot4,26
2146.9249999999997,50176,bot1,27
2117.9999999999995,53646,bot2,27
2184.425,53552,bot3,27
2020.5250000000003,48838,bot4,27
2156.6750000000006,56544,bot1,28
2098.175,51642,bot2,28
2144.625,53284,bot3,28
2087.15,52410,bot4,28
2123.3250000000007,55706,bot2,29
2068.425,51644,bot3,29
2091.225,53148,bot4,29
2070.425,51704,bot3,29
2243.8000000000006,54182,bot1,30
2144.3,54756,bot2,30
2055.2250000000004,52804,bot3,30
2115.4750000000004,54986,bot4,30
2138.675,53550,bot3,31
2152.3,50982,bot1,31
2119.4749999999995,52040,bot2,31
2123.95,49590,bot4,31
2081.0499999999997,50782,bot1,32
2075.750000000001,52542,bot2,32
2108.7250000000004,56140,bot3,32
2017.75,48400,bot4,32
2084.8250000000003,52190,bot1,33
2060.9499999999994,50840,bot2,33
2197.825,52982,bot3,33
2028.8749999999995,53360,bot4,33
2131.15,53896,bot3,34
2162.3000000000006,51368,bot4,34
2134.9999999999995,54404,bot1,34
2135.15,54016,bot3,34
2124.2500000000005,52776,bot1,35
2028.3250000000007,53670,bot2,35
2045.625,49858,bot3,35
2142.1500000000005,54442,bot4,35
2162.7000000000007,53834,bot1,36
2120.7250000000004,50100,bot2,36
2025.9750000000006,47970,bot3,36
2119.5500000000006,51284,bot4,36
2042.4000000000003,51074,bot1,37
2104.3000000000006,51426,bot2,37
2059.749999999999,47222,bot3,37
2176.5250000000005,52870,bot4,37
2158.8249999999994,55114,bot1,38
2153.8749999999995,55070,bot2,38
2045.150000000001,48716,bot3,38
2103.75,53148,bot4,38
2105.1499999999996,48160,bot1,39
2134.5749999999994,52224,bot2,39
2119.625,51024,bot3,39
2140.6000000000004,55182,bot4,39
2122.1999999999994,52372,bot1,40
2154.75,57240,bot2,40
2201.8750000000005,51974,bot3,40
2091.3,52236,bot4,40
2182.4249999999997,53254,bot1,41
2054.2250000000004,53188,bot2,41
2066.9749999999995,53330,bot3,41
2105.9,51356,bot4,41
2044.8000000000002,54242,bot1,42
2128.0249999999996,53566,bot2,42
2107.2,52386,bot3,42
2144.5750000000003,57140,bot4,42
2140.4999999999995,52954,bot1,43
2042.650000000001,51978,bot2,43
2174.6249999999995,54392,bot3,43
2153.575,50616,bot4,43
2127.0,55152,bot3,44
2086.9000000000005,53638,bot4,44
2030.8999999999996,51764,bot2,44
2094.9000000000005,53878,bot4,44
2155.3750000000005,54198,bot1,45
2036.3750000000007,51964,bot2,45
2117.5750000000003,56044,bot3,45
2097.3499999999995,52222,bot4,45
2032.5500000000004,50558,bot3,46
2100.6250000000005,49006,bot1,46
2035.124999999999,50132,bot2,46
2143.2749999999996,52440,bot4,46
2098.1749999999997,52802,bot1,47
2135.8999999999996,55996,bot2,47
2087.625,52680,bot3,47
2059.7500000000005,48876,bot4,47
2107.4499999999994,49728,bot1,48
2126.1500000000005,53322,bot2,48
