Total Bits,Total Play Time,Simulation Run
219854.10000000012,16788.42500000001,74
223702.599999999,,75
227937.99999999965,16760.20000000001,76
230848.69999999946,17382.800000000025,77
221590.89999999994,17159.049999999992,78
221570.49999999892,17136.32500000002,79
228977.99999999933,17309.875000000007,80
223505.40000000023,17294.649999999998,81
225276.90000000113,17061.10000000001,82
232701.59999999925,17407.82500000001,83
223571.4000000007,17228.100000000006,84
228328.6000000002,17261.899999999998,85
225555.80000000077,16897.625,86
229009.49999999983,17088.45,87
232763.3999999988,17165.525000000016,88
234401.5999999997,16940.799999999992,89
229801.79999999847,17282.275,90
233918.99999999913,17470.25,91
226822.40000000005,17117.874999999996,92
224746.69999999992,,93
228950.49999999997,16884.949999999997,94
224034.8000000002,16941.52500000001,95
225780.39999999874,16999.150000000012,96
236277.60000000068,17285.525000000016,97
221196.70000000016,16975.475,98
220448.8000000001,17077.15000000001,99
227785.9000000005,,100
226823.8000000001,17279.125000000007,101
219849.90000000052,17101.925000000003,102
228044.29999999996,17068.15,103
228364.69999999998,16792.22499999999,104
233553.59999999902,17088.174999999996,105
218414.70000000074,,106
229949.99999999936,17198.875000000022,107
218836.3000000012,16976.475,108
223848.40000000008,17003.349999999984,109
222768.3999999996,16984.600000000017,110
229699.50000000023,17388.22500000001,111
219734.299999999,17090.450000000004,112
221005.09999999954,16758.35000000002,113
223391.2000000005,17122.675000000014,114
225406.5000000006,17123.52500000001,115
229075.89999999944,16966.999999999993,116
220133.8,17134.149999999998,117
221560.40000000002,17032.374999999996,118
231934.39999999973,17087.100000000013,119
228402.0999999998,17166.45000000002,120
231421.29999999868,17180.400000000012,121
223663.199999999,17072.249999999996,122
231624.40000000046,17198.650000000023,123
232687.4999999999,17151.07500000002,124
228874.99999999988,17120.1,125
228582.5999999996,17014.775,126
222516.80000000057,16885.42499999999,127
227017.0000000003,17120.225000000002,128
228032.89999999988,,129
230218.69999999908,17178.850000000013,130
227519.8999999994,17268.00000000001,131
229520.9999999998,17249.05000000002,132
222676.0000000003,16855.650000000012,133
229761.39999999953,,134
225063.3999999998,17138.675000000003,135
227757.9000000006,17191.424999999996,136
221785.7999999997,17133.449999999993,137
224040.49999999942,17015.9,138
227447.3999999983,17011.475000000006,139
226981.30000000008,17287.025,140
221968.39999999985,17012.850000000006,141
226099.20000000086,17045.575,142
217007.30000000075,16997.40000000001,143
229750.6999999995,17032.175000000003,144
228268.2000000008,17113.100000000006,145
226013.5999999989,16967.999999999996,146
228556.99999999988,17191.924999999985,147
229923.39999999898,17369.54999999999,148
226109.00000000035,17057.27500000001,149
220573.19999999984,16772.77500000001,150
226995.50000000015,17010.850000000006,151
225119.49999999913,17126.999999999996,152
221014.19999999925,16862.624999999996,153
220743.4000000007,16817.075000000015,154
227802.39999999944,17089.550000000014,155
222757.79999999877,17239.200000000004,156
233116.10000000015,17192.52500000002,157
224919.20000000045,17048.425,158
222898.19999999998,,159
217385.09999999986,16921.649999999994,160
228104.8999999996,17213.449999999997,161
220968.39999999985,16934.000000000004,162
222938.20000000036,16817.550000000007,163
224948.89999999915,17073.325000000004,164
224748.70000000077,17269.12500000001,165
220908.999999999,16976.300000000003,166
224546.20000000042,17022.20000000001,167
226337.40000000087,,168
223769.40000000034,16875.775,169
228774.19999999937,17047.200000000015,170
228704.19999999937,17277.500000000007,171
232270.5999999998,17148.575000000004,172
222189.39999999985,17137.47500000001,173
229174.69999999992,17285.64999999999,174
228605.30000000048,17151.399999999994,175
222009.89999999866,16868.75,176
233683.10000000012,17150.300000000003,177
224873.90000000034,17015.024999999998,178
229785.10000000076,17433.800000000007,179
219043.59999999905,17096.05000000001,180
227123.19999999987,,181
219033.99999999953,17075.550000000003,182
226379.59999999902,,183
220789.10000000065,,184
227024.7999999999,,185
228247.80000000025,17016.0,186
221043.8999999995,16869.72500000002,187
222884.39999999918,17044.50000000002,188
221180.79999999996,,189
228625.10000000076,17119.75000000002,190
223265.80000000054,17037.475000000006,191
224571.19999999908,17170.599999999995,192
224380.49999999919,17029.15000000001,193
225505.69999999946,16960.025000000016,194
226801.6000000001,17083.025000000023,195
229454.00000000035,17024.95000000001,196
230708.0000000004,17229.300000000014,197
223766.69999999917,17219.95000000001,198
231010.1000000005,17200.500000000004,199
217503.4000000008,16936.57499999999,200
229917.49999999977,,201
223322.39999999947,17019.925000000003,202
221691.79999999987,16990.025000000023,203
233434.49999999968,17293.074999999997,204
221211.99999999965,16883.65,205
229816.9999999993,,206
226888.70000000086,17090.474999999995,207
216778.5000000009,,208
216519.60000000012,,209
222126.89999999935,17174.52500000001,210
224919.79999999952,16912.725,211
221727.0000000005,17012.575000000008,212
226371.69999999928,16853.400000000005,213
232373.49999999907,16955.39999999999,214
235613.00000000081,17187.99999999999,215
228673.69999999987,17286.725000000013,216
218485.69999999995,17093.450000000015,217
222713.90000000023,17168.6,218
224459.80000000095,17190.925000000014,219
218435.10000000056,17059.825000000008,220
225168.40000000023,17013.400000000012,221
220156.0999999996,17185.35,222
228264.29999999967,17051.325000000023,223
233249.1000000002,17034.724999999988,224
217208.60000000012,16951.15000000001,225
236641.19999999984,17341.250000000022,226
228952.89999999997,17216.55,227
225948.3000000006,16909.750000000004,228
220163.20000000027,16891.90000000002,229
230393.4999999994,17140.725000000002,230
228247.89999999967,,231
225776.69999999998,17189.850000000006,232
230011.40000000008,17028.575000000008,233
222388.00000000055,17012.750000000004,234
227303.19999999943,17235.62500000001,235
227465.50000000038,17142.425000000017,236
228754.39999999932,17309.199999999997,237
226939.2999999992,17032.599999999988,238
230622.10000000027,17218.97500000001,239
227964.50000000017,17217.45,240
226837.09999999983,17162.300000000014,241
230017.70000000024,17253.000000000022,242
225666.69999999952,16944.149999999987,243
